4x200m,Men,1:16.78,1345.0
4x400m,Men,2:50.41,1345.0
110mH,Men,12.55,1344.0
200m,Men,19.23,1344.0
300m,Men,30.09,1344.0
400m,Men,42.71,1344.0
400mH,Men,45.88,1344.0
4x100m,Men,36.52,1344.0
4x200m,Men,1:16.80,1344.0
4x400m,Men,2:50.47,1344.0
200m,Men,19.24,1343.0
300m,Men,30.1,1343.0
400m,Men,42.73,1343.0
400mH,Men,45.9,1343.0
4x100m,Men,36.53,1343.0
4x200m,Men,1:16.83,1343.0
4x400m,Men,2:50.53,1343.0
110mH,Men,12.56,1342.0
300m,Men,30.11,1342.0
400m,Men,42.74,1342.0
400mH,Men,45.92,1342.0
4x100m,Men,36.54,1342.0
4x200m,Men,1:16.85,1342.0
4x400m,Men,2:50.59,1342.0
100m,Men,9.62,1341.0
200m,Men,19.25,1341.0
300m,Men,30.12,1341.0
400m,Men,42.75,1341.0
400mH,Men,45.94,1341.0
4x100m,Men,36.56,1341.0
4x200m,Men,1:16.88,1341.0
4x400m,Men,2:50.65,1341.0
110mH,Men,12.57,1340.0
300m,Men,30.14,1340.0
400m,Men,42.77,1340.0
400mH,Men,45.95,1340.0
4x100m,Men,36.57,1340.0
4x200m,Men,1:16.90,1340.0
4x400m,Men,2:50.71,1340.0
200m,Men,19.26,1339.0
300m,Men,30.15,1339.0
400m,Men,42.78,1339.0
400mH,Men,45.97,1339.0
4x100m,Men,36.58,1339.0
4x200m,Men,1:16.93,1339.0
4x400m,Men,2:50.77,1339.0
110mH,Men,12.58,1338.0
200m,Men,19.27,1338.0
300m,Men,30.16,1338.0
400m,Men,42.79,1338.0
400mH,Men,45.99,1338.0
4x100m,Men,36.59,1338.0
4x200m,Men,1:16.95,1338.0
4x400m,Men,2:50.83,1338.0
100m,Men,9.63,1337.0
300m,Men,30.17,1337.0
400m,Men,42.81,1337.0
400mH,Men,46.01,1337.0
4x100m,Men,36.61,1337.0
4x200m,Men,1:16.98,1337.0
4x400m,Men,2:50.89,1337.0
110mH,Men,12.59,1336.0
200m,Men,19.28,1336.0
300m,Men,30.18,1336.0
