event,gender,performance,points
55mH,MALE,7.22,1129.0
60mH,MALE,7.73,1128.0
50m,MALE,5.77,1127.0
55m,MALE,6.22,1127.0
50mH,MALE,6.61,1126.0
55mH,MALE,7.23,1126.0
60m,MALE,6.65,1125.0
60mH,MALE,7.74,1124.0
50mH,MALE,6.62,1122.0
55mH,MALE,7.24,1122.0
55m,MALE,6.23,1121.0
60mH,MALE,7.75,1121.0
50m,MALE,5.78,1120.0
60m,MALE,6.66,1119.0
50mH,MALE,6.63,1118.0
55mH,MALE,7.25,1118.0
60mH,MALE,7.76,1118.0
55m,MALE,6.24,1115.0
50mH,MALE,6.64,1115.0
55mH,MALE,7.26,1115.0
60m,MALE,6.67,1114.0
60mH,MALE,7.77,1114.0
50m,MALE,5.79,1113.0
50mH,MALE,6.65,1111.0
55mH,MALE,7.27,1111.0
60mH,MALE,7.78,1111.0
55m,MALE,6.25,1109.0
60m,MALE,6.68,1108.0
60mH,MALE,7.79,1108.0
50m,MALE,5.8,1107.0
50mH,MALE,6.66,1107.0
55mH,MALE,7.28,1107.0
60mH,MALE,7.8,1105.0
55mH,MALE,7.29,1104.0
55m,MALE,6.26,1103.0
60m,MALE,6.69,1103.0
50mH,MALE,6.67,1103.0
60mH,MALE,7.81,1101.0
50m,MALE,5.81,1100.0
55mH,MALE,7.3,1100.0
50mH,MALE,6.68,1099.0
60mH,MALE,7.82,1098.0
55m,MALE,6.27,1097.0
60m,MALE,6.7,1097.0
55mH,MALE,7.31,1097.0
50mH,MALE,6.69,1095.0
60mH,MALE,7.83,1095.0
50m,MALE,5.82,1094.0
55mH,MALE,7.32,1093.0
60m,MALE,6.71,1092.0
60mH,MALE,7.84,1092.0
55m,MALE,6.28,1091.0
50mH,MALE,6.7,1091.0
55mH,MALE,7.33,1089.0
60mH,MALE,7.85,1088.0
50m,MALE,5.83,1087.0
50mH,MALE,6.71,1087.0
60m,MALE,6.72,1086.0
55mH,MALE,7.34,1086.0
55m,MALE,6.29,1085.0
60mH,MALE,7.86,1085.0
50mH,MALE,6.72,1084.0
55mH,MALE,7.35,1082.0
60mH,MALE,7.87,1082.0
50m,MALE,5.84,1081.0
60m,MALE,6.73,1081.0
55m,MALE,6.3,1080.0
50mH,MALE,6.73,1080.0
60mH,MALE,7.88,1079.0
55mH,MALE,7.36,1078.0
50mH,MALE,6.74,1076.0
60mH,MALE,7.89,1076.0
50m,MALE,5.85,1075.0
60m,MALE,6.74,1075.0
55mH,MALE,7.37,1075.0
55m,MALE,6.31,1074.0
50mH,MALE,6.75,1072.0
60mH,MALE,7.9,1072.0
55mH,MALE,7.38,1071.0
60m,MALE,6.75,1070.0
60mH,MALE,7.91,1069.0
50m,MALE,5.86,1068.0
55m,MALE,6.32,1068.0
50mH,MALE,6.76,1068.0
